response,Potency,Usage,problem
what is the use of Belladonna medicine,30C,Internal,"Bone health, growth, fatigue"
Belladonna,200C,Internal,"Anemia, infections, inflammation"
Aconite,12C,Internal,"Flu, fever, fatigue, headache"
Bryonia,6C,Internal,"Bruises, muscle soreness, swelling"
Aconite,1M,External/Internal,"Anemia, infections, inflammation"
Belladonna,30C,Internal,"Flu, fever, fatigue, headache"
Nux Vomica,1M,External/Internal,"Fever, inflammation, throbbing pain"
Arnica,12C,External/Internal,"Anxiety, restlessness, acute illness"
Aconite,30C,Internal,"Indigestion, nausea, hangovers"
Bryonia,200C,External/Internal,"Flu, fever, fatigue, headache"
Chamomilla,12C,External/Internal,"Anxiety, restlessness, acute illness"
Bryonia,1M,Internal,"Fever, inflammation, throbbing pain"
Calcarea Carbonica,200C,External/Internal,"Flu, fever, fatigue, headache"
Gelsemium,12C,External/Internal,"Anxiety, restlessness, acute illness"
Belladonna,6C,Internal,"Dry cough, arthritis, headaches"
Calcarea Carbonica,12C,External/Internal,"Indigestion, nausea, hangovers"
Nux Vomica,200C,External/Internal,"Teething pain, irritability"
Arnica,6C,External/Internal,"Teething pain, irritability"
Belladonna,12C,Internal,"Dry cough, arthritis, headaches"
Gelsemium,200C,Internal,"Dry cough, arthritis, headaches"
Ferrum Phosphoricum,1M,Internal,"Anemia, infections, inflammation"
Pulsatilla,6C,Internal,"Bone health, growth, fatigue"
Arnica,6C,External/Internal,"Anemia, infections, inflammation"
Belladonna,30C,External/Internal,"Bruises, muscle soreness, swelling"
Pulsatilla,12C,External/Internal,"Bone health, growth, fatigue"
Aconite,6C,Internal,"Flu, fever, fatigue, headache"
Chamomilla,1M,Internal,"Bruises, muscle soreness, swelling"
Bryonia,6C,External/Internal,"Anxiety, restlessness, acute illness"
Nux Vomica,200C,Internal,"Bone health, growth, fatigue"
Aconite,6C,External/Internal,"Indigestion, nausea, hangovers"
Ferrum Phosphoricum,30C,External/Internal,"Indigestion, nausea, hangovers"
Pulsatilla,12C,External/Internal,"Menstrual pain, mood swings"
Pulsatilla,200C,Internal,"Flu, fever, fatigue, headache"
Gelsemium,12C,Internal,"Menstrual pain, mood swings"
Aconite,200C,Internal,"Indigestion, nausea, hangovers"
Gelsemium,1M,External/Internal,"Dry cough, arthritis, headaches"
Belladonna,30C,Internal,"Anxiety, restlessness, acute illness"
Ferrum Phosphoricum,12C,Internal,"Bruises, muscle soreness, swelling"
Pulsatilla,200C,Internal,"Bone health, growth, fatigue"
Gelsemium,1M,Internal,"Teething pain, irritability"
Calcarea Carbonica,6C,External/Internal,"Menstrual pain, mood swings"
Bryonia,12C,External/Internal,"Menstrual pain, mood swings"
Gelsemium,30C,Internal,"Bone health, growth, fatigue"
Pulsatilla,30C,Internal,"Flu, fever, fatigue, headache"
Aconite,6C,External/Internal,"Menstrual pain, mood swings"
Chamomilla,30C,Internal,"Indigestion, nausea, hangovers"
Chamomilla,200C,Internal,"Bruises, muscle soreness, swelling"
Calcarea Carbonica,6C,Internal,"Teething pain, irritability"
Pulsatilla,1M,Internal,"Fever, inflammation, throbbing pain"
Chamomilla,1M,External/Internal,"Flu, fever, fatigue, headache"
Belladonna,12C,Internal,"Anxiety, restlessness, acute illness"
Aconite,30C,External/Internal,"Anxiety, restlessness, acute illness"
Bryonia,12C,Internal,"Dry cough, arthritis, headaches"
Ferrum Phosphoricum,30C,External/Internal,"Bone health, growth, fatigue"
Pulsatilla,30C,External/Internal,"Fever, inflammation, throbbing pain"
Aconite,30C,Internal,"Bruises, muscle soreness, swelling"
Chamomilla,1M,External/Internal,"Menstrual pain, mood swings"
